"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2025","2,306.46","2,244.26","2,321.74","2,159.86","","3.42%"
"01-12-2024","2,230.16","2,437.21","2,442.61","2,194.90","","-8.40%"
"01-11-2024","2,434.73","2,202.18","2,466.49","2,200.30","","10.84%"
"01-10-2024","2,196.65","2,223.12","2,289.49","2,170.61","","-1.49%"
"01-09-2024","2,229.97","2,206.41","2,259.25","2,058.68","","0.56%"
"01-08-2024","2,217.63","2,253.50","2,262.73","1,993.27","","-1.63%"
"01-07-2024","2,254.48","2,050.60","2,300.00","2,019.06","","10.10%"
"01-06-2024","2,047.69","2,082.40","2,088.53","1,993.23","","-1.08%"
"01-05-2024","2,070.13","1,973.37","2,112.32","1,968.03","","4.87%"
"01-04-2024","1,973.91","2,125.91","2,126.06","1,931.54","","-7.09%"
"01-03-2024","2,124.55","2,058.48","2,135.46","2,009.81","","3.39%"
"01-02-2024","2,054.84","1,959.58","2,072.97","1,921.36","","5.52%"
"01-01-2024","1,947.34","2,012.75","2,032.49","1,898.24","","-3.93%"
"01-12-2023","2,027.07","1,806.13","2,071.78","1,800.81","","12.05%"
"01-11-2023","1,809.02","1,661.41","1,830.00","1,649.06","","8.83%"
"01-10-2023","1,662.28","1,780.86","1,786.64","1,633.67","","-6.88%"
"01-09-2023","1,785.10","1,908.17","1,926.81","1,761.61","","-6.03%"
"01-08-2023","1,899.68","1,996.89","1,996.89","1,830.84","","-5.17%"
"01-07-2023","2,003.18","1,887.03","2,003.62","1,823.91","","6.06%"
"01-06-2023","1,888.73","1,750.86","1,906.83","1,744.37","","7.95%"
"01-05-2023","1,749.65","1,765.45","1,816.40","1,704.82","","-1.09%"
"01-04-2023","1,768.99","1,804.02","1,812.37","1,725.82","","-1.86%"
"01-03-2023","1,802.48","1,896.14","1,931.71","1,695.23","","-4.98%"
"01-02-2023","1,896.99","1,929.47","2,007.31","1,875.81","","-1.81%"
"01-01-2023","1,931.94","1,769.75","1,931.94","1,737.26","","9.69%"
"01-12-2022","1,761.25","1,891.98","1,898.45","1,722.02","","-6.64%"
"01-11-2022","1,886.58","1,864.95","1,905.84","1,757.45","","2.15%"
"01-10-2022","1,846.86","1,687.28","1,854.57","1,641.94","","10.94%"
"01-09-2022","1,664.72","1,826.75","1,906.09","1,650.71","","-9.73%"
"01-08-2022","1,844.12","1,870.49","2,030.05","1,843.08","","-2.18%"
"01-07-2022","1,885.23","1,705.07","1,888.22","1,681.58","","10.38%"
"01-06-2022","1,707.99","1,871.46","1,919.73","1,641.47","","-8.37%"
"01-05-2022","1,864.04","1,863.66","1,952.75","1,701.15","","0.00%"
"01-04-2022","1,864.10","2,071.22","2,103.36","1,860.58","","-9.95%"
"01-03-2022","2,070.13","2,047.24","2,138.45","1,932.71","","1.08%"
"01-02-2022","2,048.09","2,028.78","2,105.21","1,894.45","","0.97%"
"01-01-2022","2,028.45","2,246.71","2,288.30","1,901.36","","-9.66%"
"01-12-2021","2,245.31","2,203.12","2,276.75","2,107.68","","2.11%"
"01-11-2021","2,198.91","2,298.08","2,458.85","2,175.68","","-4.28%"
"01-10-2021","2,297.19","2,205.91","2,321.47","2,188.69","","4.21%"
"01-09-2021","2,204.37","2,274.21","2,309.97","2,155.34","","-3.05%"
"01-08-2021","2,273.77","2,228.03","2,286.36","2,122.24","","2.13%"
"01-07-2021","2,226.25","2,312.57","2,332.95","2,107.07","","-3.65%"
"01-06-2021","2,310.55","2,270.38","2,350.70","2,229.58","","1.83%"
"01-05-2021","2,268.97","2,268.62","2,288.57","2,132.25","","0.11%"
"01-04-2021","2,266.45","2,225.29","2,322.91","2,171.68","","2.07%"
"01-03-2021","2,220.52","2,203.03","2,360.17","2,085.12","","0.88%"
"01-02-2021","2,201.05","2,075.01","2,318.09","2,075.01","","6.14%"
"01-01-2021","2,073.64","1,975.78","2,194.86","1,927.15","","5.00%"
"01-12-2020","1,974.86","1,822.92","2,026.24","1,817.02","","8.52%"
"01-11-2020","1,819.82","1,540.86","1,862.17","1,540.86","","18.29%"
"01-10-2020","1,538.48","1,508.60","1,652.05","1,498.11","","2.04%"
"01-09-2020","1,507.69","1,561.10","1,595.04","1,432.57","","-3.47%"
"01-08-2020","1,561.88","1,485.49","1,603.60","1,483.37","","5.50%"
"01-07-2020","1,480.43","1,443.29","1,507.24","1,384.10","","2.71%"
"01-06-2020","1,441.37","1,396.29","1,537.62","1,343.60","","3.40%"
"01-05-2020","1,394.04","1,280.58","1,450.37","1,181.09","","6.36%"
"01-04-2020","1,310.66","1,127.73","1,373.39","1,035.39","","13.66%"
"01-03-2020","1,153.10","1,476.59","1,539.74","966.22","","-21.90%"
"01-02-2020","1,476.43","1,618.80","1,698.91","1,448.21","","-8.53%"
"01-01-2020","1,614.06","1,675.90","1,715.08","1,610.64","","-3.26%"
"01-12-2019","1,668.47","1,626.56","1,681.68","1,589.73","","2.71%"
"01-11-2019","1,624.50","1,569.20","1,634.77","1,569.20","","3.97%"
"01-10-2019","1,562.45","1,523.85","1,581.13","1,462.22","","2.57%"
"01-09-2019","1,523.37","1,494.03","1,590.50","1,467.47","","1.91%"
"01-08-2019","1,494.84","1,574.93","1,587.81","1,450.32","","-5.07%"
"01-07-2019","1,574.60","1,574.65","1,599.40","1,543.56","","0.51%"
"01-06-2019","1,566.57","1,465.88","1,570.74","1,460.49","","6.90%"
"01-05-2019","1,465.49","1,593.48","1,618.37","1,461.47","","-7.90%"
"01-04-2019","1,591.21","1,542.89","1,603.08","1,542.89","","3.34%"
"01-03-2019","1,539.74","1,577.50","1,594.24","1,494.99","","-2.27%"
"01-02-2019","1,575.55","1,499.53","1,602.10","1,494.37","","5.08%"
"01-01-2019","1,499.42","1,346.11","1,500.74","1,325.18","","11.19%"
"01-12-2018","1,348.56","1,536.33","1,553.34","1,266.92","","-12.05%"
"01-11-2018","1,533.27","1,512.68","1,586.17","1,465.25","","1.45%"
"01-10-2018","1,511.41","1,697.83","1,703.81","1,459.16","","-10.91%"
"01-09-2018","1,696.57","1,740.80","1,740.80","1,686.99","","-2.54%"
"01-08-2018","1,740.75","1,670.87","1,742.09","1,657.54","","4.19%"
"01-07-2018","1,670.80","1,641.73","1,708.56","1,631.06","","1.69%"
"01-06-2018","1,643.07","1,635.40","1,708.10","1,630.06","","0.58%"
"01-05-2018","1,633.61","1,541.77","1,651.11","1,527.71","","5.95%"
"01-04-2018","1,541.88","1,529.14","1,592.04","1,482.90","","0.81%"
"01-03-2018","1,529.43","1,512.07","1,609.05","1,494.00","","1.12%"
"01-02-2018","1,512.45","1,574.73","1,582.28","1,436.43","","-3.97%"
"01-01-2018","1,574.98","1,536.12","1,615.52","1,536.12","","2.57%"
"01-12-2017","1,535.51","1,544.10","1,559.61","1,498.78","","-0.56%"
"01-11-2017","1,544.14","1,504.54","1,551.69","1,454.17","","2.75%"
"01-10-2017","1,502.77","1,491.05","1,514.94","1,482.53","","0.80%"
"01-09-2017","1,490.86","1,405.82","1,493.56","1,393.88","","6.09%"
"01-08-2017","1,405.28","1,426.03","1,430.66","1,349.35","","-1.39%"
"01-07-2017","1,425.14","1,416.47","1,452.09","1,398.83","","0.69%"
"01-06-2017","1,415.36","1,370.33","1,433.79","1,370.33","","3.30%"
"01-05-2017","1,370.21","1,401.01","1,411.04","1,351.01","","-2.16%"
"01-04-2017","1,400.43","1,386.43","1,425.70","1,345.24","","1.05%"
"01-03-2017","1,385.92","1,389.12","1,414.82","1,335.04","","-0.06%"
"01-02-2017","1,386.68","1,364.07","1,410.40","1,349.43","","1.83%"
"01-01-2017","1,361.82","1,357.99","1,388.60","1,341.46","","0.35%"
"01-12-2016","1,357.13","1,322.76","1,392.71","1,308.85","","2.63%"
"01-11-2016","1,322.34","1,191.77","1,347.20","1,156.08","","10.99%"
"01-10-2016","1,191.39","1,251.28","1,254.09","1,185.17","","-4.81%"
"01-09-2016","1,251.65","1,240.07","1,263.46","1,206.07","","0.95%"
"01-08-2016","1,239.91","1,220.30","1,251.33","1,198.73","","1.64%"
"01-07-2016","1,219.94","1,151.75","1,224.77","1,131.71","","5.90%"
"01-06-2016","1,151.92","1,154.51","1,190.17","1,085.88","","-0.25%"
"01-05-2016","1,154.79","1,131.21","1,158.97","1,085.94","","2.12%"
"01-04-2016","1,130.84","1,112.90","1,156.07","1,088.56","","1.51%"
"01-03-2016","1,114.03","1,035.52","1,117.79","1,035.52","","7.75%"
"01-02-2016","1,033.90","1,033.53","1,044.91","943.10","","-0.14%"
"01-01-2016","1,035.38","1,134.08","1,134.08","958.48","","-8.85%"
"01-12-2015","1,135.89","1,198.93","1,205.08","1,108.76","","-5.19%"
"01-11-2015","1,198.11","1,161.95","1,204.87","1,140.76","","3.12%"
"01-10-2015","1,161.86","1,100.89","1,178.78","1,080.61","","5.56%"
"01-09-2015","1,100.69","1,146.61","1,193.99","1,078.63","","-5.07%"
"01-08-2015","1,159.45","1,238.32","1,243.16","1,102.58","","-6.40%"
"01-07-2015","1,238.68","1,262.12","1,275.90","1,205.19","","-1.22%"
"01-06-2015","1,253.95","1,252.02","1,296.00","1,238.65","","0.60%"
"01-05-2015","1,246.53","1,223.05","1,261.02","1,211.13","","2.16%"
"01-04-2015","1,220.13","1,250.99","1,278.63","1,216.10","","-2.61%"
"01-03-2015","1,252.77","1,233.39","1,268.16","1,206.11","","1.57%"
"01-02-2015","1,233.37","1,168.58","1,239.67","1,153.79","","5.83%"
"01-01-2015","1,165.39","1,209.98","1,212.80","1,151.30","","-3.26%"
"01-12-2014","1,204.70","1,170.55","1,221.44","1,134.51","","2.68%"
"01-11-2014","1,173.23","1,174.50","1,191.76","1,151.98","","-0.02%"
"01-10-2014","1,173.51","1,101.08","1,174.33","1,040.47","","6.52%"
"01-09-2014","1,101.68","1,177.29","1,183.85","1,101.67","","-6.19%"
"01-08-2014","1,174.35","1,120.54","1,177.07","1,107.31","","4.85%"
"01-07-2014","1,120.07","1,196.23","1,213.55","1,120.06","","-6.11%"
"01-06-2014","1,192.96","1,136.37","1,193.60","1,118.66","","5.15%"
"01-05-2014","1,134.50","1,126.04","1,144.10","1,082.53","","0.68%"
"01-04-2014","1,126.86","1,175.47","1,193.96","1,095.79","","-3.94%"
"01-03-2014","1,173.04","1,174.23","1,212.82","1,146.83","","-0.84%"
"01-02-2014","1,183.03","1,130.10","1,193.50","1,082.72","","4.61%"
"01-01-2014","1,130.88","1,160.50","1,182.04","1,119.80","","-2.82%"
"01-12-2013","1,163.64","1,142.30","1,167.96","1,099.67","","1.82%"
"01-11-2013","1,142.89","1,099.09","1,147.00","1,079.08","","3.88%"
"01-10-2013","1,100.15","1,073.69","1,123.26","1,037.86","","2.45%"
"01-09-2013","1,073.79","1,019.48","1,082.00","1,009.00","","6.22%"
"01-08-2013","1,010.90","1,051.23","1,063.52","1,009.46","","-3.29%"
"01-07-2013","1,045.26","981.30","1,056.86","981.30","","6.93%"
"01-06-2013","977.48","986.25","1,001.49","942.79","","-0.68%"
"01-05-2013","984.14","945.53","1,008.23","924.21","","3.87%"
"01-04-2013","947.46","951.41","951.60","898.40","","-0.43%"
"01-03-2013","951.54","905.37","954.00","899.31","","4.44%"
"01-02-2013","911.11","905.59","932.00","894.24","","1.00%"
"01-01-2013","902.09","873.42","907.91","849.35","","6.21%"
"01-12-2012","849.35","825.87","852.50","816.08","","3.34%"
"01-11-2012","821.92","818.78","830.55","763.55","","0.39%"
"01-10-2012","818.73","840.83","853.57","807.24","","-2.24%"
"01-09-2012","837.45","813.17","868.50","807.36","","3.12%"
"01-08-2012","812.09","790.03","827.13","765.20","","3.20%"
"01-07-2012","786.94","799.82","820.44","765.05","","-1.45%"
"01-06-2012","798.49","752.11","799.00","729.75","","4.81%"
"01-05-2012","761.82","817.70","830.10","745.71","","-6.74%"
"01-04-2012","816.88","828.89","841.06","783.56","","-1.62%"
"01-03-2012","830.30","813.97","847.92","785.41","","2.39%"
"01-02-2012","810.94","796.99","833.02","796.99","","2.29%"
"01-01-2012","792.82","740.92","800.22","736.78","","7.00%"
"01-12-2011","740.92","734.51","753.19","705.78","","0.47%"
"01-11-2011","737.42","725.47","756.76","666.16","","-0.49%"
"01-10-2011","741.06","639.73","769.46","601.71","","15.04%"
"01-09-2011","644.16","727.04","734.06","634.71","","-11.37%"
"01-08-2011","726.81","803.82","808.60","639.85","","-8.81%"
"01-07-2011","797.03","828.25","860.37","783.17","","-3.67%"
"01-06-2011","827.43","846.54","846.65","772.62","","-2.46%"
"01-05-2011","848.30","865.59","868.57","807.93","","-1.96%"
"01-04-2011","865.29","847.87","866.90","816.07","","2.58%"
"01-03-2011","843.55","825.24","843.73","775.90","","2.44%"
"01-02-2011","823.45","785.29","838.00","785.29","","5.40%"
"01-01-2011","781.25","793.54","807.89","771.71","","-0.31%"
"01-12-2010","783.65","734.98","793.28","734.70","","7.79%"
"01-11-2010","727.01","706.13","738.99","693.70","","3.36%"
"01-10-2010","703.35","680.95","714.05","665.99","","4.02%"
"01-09-2010","676.14","603.33","684.59","603.33","","12.30%"
"01-08-2010","602.06","657.42","664.46","588.58","","-7.50%"
"01-07-2010","650.89","609.77","672.16","587.67","","6.79%"
"01-06-2010","609.49","657.54","677.15","607.29","","-7.88%"
"01-05-2010","661.61","719.30","732.87","617.61","","-7.67%"
"01-04-2010","716.60","681.57","745.95","677.75","","5.59%"
"01-03-2010","678.64","630.61","693.32","630.61","","7.97%"
"01-02-2010","628.56","602.22","633.55","580.49","","4.41%"
"01-01-2010","602.04","628.11","649.15","600.53","","-3.73%"
"01-12-2009","625.39","582.99","635.99","582.99","","7.88%"
"01-11-2009","579.73","563.75","605.44","553.31","","3.01%"
"01-10-2009","562.77","603.23","624.13","560.19","","-6.87%"
"01-09-2009","604.28","570.24","625.31","552.27","","5.63%"
"01-08-2009","572.07","559.31","589.79","546.96","","2.76%"
"01-07-2009","556.71","510.28","563.48","473.54","","9.53%"
"01-06-2009","508.28","504.57","535.86","488.85","","1.34%"
"01-05-2009","501.58","488.09","511.82","470.37","","2.88%"
"01-04-2009","487.56","419.39","501.46","412.79","","15.33%"
"01-03-2009","422.75","389.01","445.30","342.59","","8.67%"
"01-02-2009","389.02","441.21","471.53","386.69","","-12.29%"
"01-01-2009","443.53","499.51","519.00","431.26","","-11.20%"
"01-12-2008","499.45","466.53","503.26","415.99","","5.56%"
"01-11-2008","473.14","536.50","551.02","371.30","","-11.98%"
"01-10-2008","537.52","676.21","676.21","441.92","","-20.90%"
"01-09-2008","679.58","745.12","761.78","657.17","","-8.10%"
"01-08-2008","739.50","714.92","764.38","700.18","","3.50%"
"01-07-2008","714.52","686.77","726.27","647.37","","3.60%"
"01-06-2008","689.66","747.48","763.27","689.66","","-7.83%"
"01-05-2008","748.28","715.54","750.69","714.01","","4.48%"
"01-04-2008","716.18","692.02","728.44","684.88","","4.10%"
"01-03-2008","687.97","686.05","705.99","643.28","","0.26%"
"01-02-2008","686.18","714.92","731.24","683.54","","-3.80%"
"01-01-2008","713.30","765.90","768.46","650.00","","-6.88%"
"01-12-2007","766.03","768.20","799.57","735.85","","-0.23%"
"01-11-2007","767.77","822.91","828.02","734.38","","-7.28%"
"01-10-2007","828.02","805.76","852.07","788.63","","2.80%"
"01-09-2007","805.45","792.53","822.87","759.42","","1.59%"
"01-08-2007","792.86","774.95","803.50","735.95","","2.16%"
"01-07-2007","776.12","836.07","856.48","770.63","","-6.91%"
"01-06-2007","833.70","848.58","856.42","819.76","","-1.59%"
"01-05-2007","847.14","815.44","849.27","807.66","","4.00%"
"01-04-2007","814.57","801.22","835.16","798.17","","1.73%"
"01-03-2007","800.71","787.70","811.05","760.06","","1.02%"
"01-02-2007","792.63","801.96","830.02","784.33","","-0.96%"
"01-01-2007","800.34","790.13","803.51","768.68","","1.61%"
"01-12-2006","787.66","785.69","801.01","773.04","","0.20%"
"01-11-2006","786.12","767.02","795.17","746.30","","2.51%"
"01-10-2006","766.84","725.57","776.02","712.16","","5.69%"
"01-09-2006","725.59","720.74","738.17","700.43","","0.70%"
"01-08-2006","720.53","700.15","725.05","674.76","","2.85%"
"01-07-2006","700.56","724.40","730.80","668.58","","-3.32%"
"01-06-2006","724.58","721.84","742.25","669.88","","0.50%"
"01-05-2006","721.01","764.85","784.62","696.04","","-5.69%"
"01-04-2006","764.54","765.13","778.57","740.22","","-0.08%"
"01-03-2006","765.14","730.88","767.17","713.62","","4.72%"
"01-02-2006","730.64","731.65","742.78","708.13","","-0.35%"
"01-01-2006","733.20","710.83","736.25","698.62","","8.91%"
"01-12-2005","673.22","677.29","693.63","669.04","","-0.60%"
"01-11-2005","677.29","646.61","686.22","640.18","","4.74%"
"01-10-2005","646.61","667.80","674.17","614.76","","-3.17%"
"01-09-2005","667.80","666.51","682.49","644.74","","0.19%"
"01-08-2005","666.51","679.75","688.51","645.38","","-1.66%"
"01-07-2005","677.78","639.85","677.87","638.94","","5.96%"
"01-06-2005","639.66","616.70","648.18","616.70","","3.72%"
"01-05-2005","616.71","579.98","619.39","578.14","","6.44%"
"01-04-2005","579.38","615.57","620.91","570.02","","-5.80%"
"01-03-2005","615.07","634.19","647.64","603.83","","-2.99%"
"01-02-2005","634.06","623.90","640.59","616.91","","1.61%"
"01-01-2005","624.02","652.14","654.30","604.16","","-4.23%"
"01-12-2004","651.57","634.10","656.11","621.74","","2.81%"
"01-11-2004","633.77","583.93","636.01","581.10","","8.56%"
"01-10-2004","583.79","573.83","592.66","562.82","","1.89%"
"01-09-2004","572.94","547.90","577.16","547.70","","4.56%"
"01-08-2004","547.93","551.28","551.93","516.87","","-0.61%"
"01-07-2004","551.29","591.36","591.38","531.40","","-6.80%"
"01-06-2004","591.52","568.28","591.53","557.66","","4.09%"
"01-05-2004","568.28","559.80","575.36","530.68","","1.51%"
"01-04-2004","559.80","590.31","606.42","558.57","","-5.17%"
"01-03-2004","590.31","585.56","603.16","556.13","","0.81%"
"01-02-2004","585.56","580.76","597.08","564.03","","0.83%"
"01-01-2004","580.76","556.91","601.50","556.91","","4.28%"
"01-12-2003","556.91","546.51","566.74","526.42","","1.90%"
"01-11-2003","546.51","528.22","547.56","519.84","","3.46%"
"01-10-2003","528.22","487.68","536.41","487.68","","8.31%"
"01-09-2003","487.68","497.42","520.61","482.13","","-1.96%"
"01-08-2003","497.42","476.02","499.42","449.97","","4.50%"
"01-07-2003","476.02","448.35","481.37","441.22","","6.17%"
"01-06-2003","448.37","441.00","465.73","437.20","","1.67%"
"01-05-2003","441.00","398.68","441.01","394.19","","10.62%"
"01-04-2003","398.68","364.54","399.85","363.73","","9.37%"
"01-03-2003","364.54","360.52","376.37","343.06","","1.12%"
"01-02-2003","360.52","372.17","373.73","351.78","","-3.13%"
"01-01-2003","372.17","383.09","399.55","366.59","","-2.85%"
"01-12-2002","383.09","406.36","413.64","379.67","","-5.72%"
"01-11-2002","406.35","373.50","411.13","369.14","","8.80%"
"01-10-2002","373.50","362.27","376.71","324.90","","3.10%"
"01-09-2002","362.27","390.96","397.55","354.30","","-7.34%"
"01-08-2002","390.96","392.42","410.92","367.12","","-0.37%"
"01-07-2002","392.42","462.63","462.63","354.11","","-15.18%"
"01-06-2002","462.64","487.47","487.59","441.76","","-5.09%"
"01-05-2002","487.47","510.67","515.26","482.60","","-4.54%"
"01-04-2002","510.67","506.46","523.79","493.76","","0.83%"
"01-03-2002","506.46","469.37","509.19","469.19","","7.90%"
"01-02-2002","469.36","483.10","484.00","457.05","","-2.84%"
"01-01-2002","483.10","488.50","503.08","468.04","","-1.11%"
"01-12-2001","488.50","460.79","494.71","455.51","","6.02%"
"01-11-2001","460.78","428.17","465.92","424.84","","7.62%"
"01-10-2001","428.17","404.87","439.81","393.00","","5.75%"
"01-09-2001","404.87","468.56","472.81","373.62","","-13.59%"
"01-08-2001","468.56","484.78","491.89","465.42","","-3.35%"
"01-07-2001","484.78","513.28","513.28","471.36","","-5.43%"
"01-06-2001","512.64","496.50","516.48","482.19","","3.25%"
"01-05-2001","496.50","485.31","519.89","480.47","","2.30%"
"01-04-2001","485.32","450.53","490.25","424.64","","7.72%"
"01-03-2001","450.53","474.38","485.50","419.70","","-5.03%"
"01-02-2001","474.37","508.33","510.94","465.07","","-6.68%"